PiuraChilensis_v1_contig_1 	 0.427621  	 
PiuraChilensis_v1_contig_10 	 0.817866  	 
PiuraChilensis_v1_contig_100 	 0.914473  	 death
PiuraChilensis_v1_contig_100 	 0.914473  	 other biological processes
PiuraChilensis_v1_contig_100 	 0.914473  	 signal transduction
PiuraChilensis_v1_contig_100 	 0.914473  	 stress response
PiuraChilensis_v1_contig_100 	 0.914473  	 transport
PiuraChilensis_v1_contig_1000 	 0.792597  	 other biological processes
PiuraChilensis_v1_contig_1000 	 0.792597  	 other metabolic processes
PiuraChilensis_v1_contig_10000 	 0.947282  	 
PiuraChilensis_v1_contig_10001 	 0.691634  	 
PiuraChilensis_v1_contig_10002 	 0.936689  	 
PiuraChilensis_v1_contig_10003 	 0.371111  	 RNA metabolism
PiuraChilensis_v1_contig_10003 	 0.371111  	 other biological processes
PiuraChilensis_v1_contig_10003 	 0.371111  	 protein metabolism
PiuraChilensis_v1_contig_10004 	 0.89432  	 other metabolic processes
PiuraChilensis_v1_contig_10005 	 0.873687  	 
PiuraChilensis_v1_contig_10006 	 0.701088  	 RNA metabolism
PiuraChilensis_v1_contig_10007 	 0.799701  	 cell cycle and proliferation
PiuraChilensis_v1_contig_10007 	 0.799701  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10007 	 0.799701  	 other biological processes
PiuraChilensis_v1_contig_10007 	 0.799701  	 stress response
PiuraChilensis_v1_contig_10008 	 0.656072  	 RNA metabolism
PiuraChilensis_v1_contig_10009 	 0.716323  	 
PiuraChilensis_v1_contig_1001 	 0.920809  	 
PiuraChilensis_v1_contig_10010 	 1.00146  	 developmental processes
PiuraChilensis_v1_contig_10010 	 1.00146  	 other metabolic processes
PiuraChilensis_v1_contig_10010 	 1.00146  	 transport
PiuraChilensis_v1_contig_10011 	 0.736964  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10012 	 0.784672  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10012 	 0.784672  	 developmental processes
PiuraChilensis_v1_contig_10012 	 0.784672  	 other biological processes
PiuraChilensis_v1_contig_10012 	 0.784672  	 other metabolic processes
PiuraChilensis_v1_contig_10012 	 0.784672  	 protein metabolism
PiuraChilensis_v1_contig_10013 	 0.931527  	 RNA metabolism
PiuraChilensis_v1_contig_10014 	 0.712588  	 
PiuraChilensis_v1_contig_10015 	 0.947993  	 other metabolic processes
PiuraChilensis_v1_contig_10015 	 0.947993  	 transport
PiuraChilensis_v1_contig_10016 	 0.852142  	 transport
PiuraChilensis_v1_contig_10017 	 0.666696  	 
PiuraChilensis_v1_contig_10018 	 0.793301  	 other biological processes
PiuraChilensis_v1_contig_10019 	 0.414585  	 
PiuraChilensis_v1_contig_1002 	 1.05535  	 
PiuraChilensis_v1_contig_10020 	 0.900526  	 developmental processes
PiuraChilensis_v1_contig_10020 	 0.900526  	 other biological processes
PiuraChilensis_v1_contig_10020 	 0.900526  	 other metabolic processes
PiuraChilensis_v1_contig_10020 	 0.900526  	 stress response
PiuraChilensis_v1_contig_10021 	 0.617455  	 other biological processes
PiuraChilensis_v1_contig_10021 	 0.617455  	 other metabolic processes
PiuraChilensis_v1_contig_10022 	 0.637087  	 
PiuraChilensis_v1_contig_10023 	 0.520687  	 
PiuraChilensis_v1_contig_10024 	 0.715634  	 
PiuraChilensis_v1_contig_10025 	 0.576421  	 
PiuraChilensis_v1_contig_10026 	 0.856107  	 
PiuraChilensis_v1_contig_10027 	 0.784308  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10027 	 0.784308  	 other metabolic processes
PiuraChilensis_v1_contig_10027 	 0.784308  	 protein metabolism
PiuraChilensis_v1_contig_10027 	 0.784308  	 signal transduction
PiuraChilensis_v1_contig_10027 	 0.784308  	 stress response
PiuraChilensis_v1_contig_10028 	 0.477141  	 RNA metabolism
PiuraChilensis_v1_contig_10028 	 0.477141  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10028 	 0.477141  	 other metabolic processes
PiuraChilensis_v1_contig_10028 	 0.477141  	 protein metabolism
PiuraChilensis_v1_contig_10029 	 0.626376  	 
PiuraChilensis_v1_contig_1003 	 0.984061  	 cell adhesion
PiuraChilensis_v1_contig_10030 	 1.0369  	 
PiuraChilensis_v1_contig_10031 	 0.945873  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10031 	 0.945873  	 other biological processes
PiuraChilensis_v1_contig_10031 	 0.945873  	 protein metabolism
PiuraChilensis_v1_contig_10031 	 0.945873  	 transport
PiuraChilensis_v1_contig_10032 	 0.84075  	 
PiuraChilensis_v1_contig_10033 	 1.12231  	 RNA metabolism
PiuraChilensis_v1_contig_10033 	 1.12231  	 cell adhesion
PiuraChilensis_v1_contig_10033 	 1.12231  	 cell cycle and proliferation
PiuraChilensis_v1_contig_10033 	 1.12231  	 death
PiuraChilensis_v1_contig_10033 	 1.12231  	 developmental processes
PiuraChilensis_v1_contig_10033 	 1.12231  	 other biological processes
PiuraChilensis_v1_contig_10033 	 1.12231  	 other metabolic processes
PiuraChilensis_v1_contig_10033 	 1.12231  	 signal transduction
PiuraChilensis_v1_contig_10033 	 1.12231  	 stress response
PiuraChilensis_v1_contig_10033 	 1.12231  	 transport
PiuraChilensis_v1_contig_10034 	 0.295108  	 
PiuraChilensis_v1_contig_10035 	 0.571551  	 cell cycle and proliferation
PiuraChilensis_v1_contig_10036 	 0.535246  	 
PiuraChilensis_v1_contig_10037 	 1.09231  	 
PiuraChilensis_v1_contig_10038 	 0.602088  	 
PiuraChilensis_v1_contig_10039 	 0.81428  	 
PiuraChilensis_v1_contig_1004 	 0.751892  	 death
PiuraChilensis_v1_contig_1004 	 0.751892  	 signal transduction
PiuraChilensis_v1_contig_10040 	 0.507971  	 other biological processes
PiuraChilensis_v1_contig_10040 	 0.507971  	 transport
PiuraChilensis_v1_contig_10041 	 0.983473  	 
PiuraChilensis_v1_contig_10042 	 0.798592  	 other biological processes
PiuraChilensis_v1_contig_10042 	 0.798592  	 other metabolic processes
PiuraChilensis_v1_contig_10042 	 0.798592  	 signal transduction
PiuraChilensis_v1_contig_10043 	 1.26758  	 RNA metabolism
PiuraChilensis_v1_contig_10044 	 1.11176  	 
PiuraChilensis_v1_contig_10045 	 0.888002  	 
PiuraChilensis_v1_contig_10046 	 0.727199  	 transport
PiuraChilensis_v1_contig_10047 	 0.829222  	 
PiuraChilensis_v1_contig_10048 	 1.03089  	 DNA metabolism
PiuraChilensis_v1_contig_10048 	 1.03089  	 RNA metabolism
PiuraChilensis_v1_contig_10048 	 1.03089  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10048 	 1.03089  	 developmental processes
PiuraChilensis_v1_contig_10048 	 1.03089  	 other metabolic processes
PiuraChilensis_v1_contig_10048 	 1.03089  	 protein metabolism
PiuraChilensis_v1_contig_10049 	 1.04355  	 
PiuraChilensis_v1_contig_1005 	 0.618469  	 
PiuraChilensis_v1_contig_10050 	 1.00655  	 
PiuraChilensis_v1_contig_10051 	 0.514179  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10051 	 0.514179  	 transport
PiuraChilensis_v1_contig_10052 	 0.582907  	 
PiuraChilensis_v1_contig_10053 	 0.763911  	 RNA metabolism
PiuraChilensis_v1_contig_10054 	 0.949245  	 
PiuraChilensis_v1_contig_10055 	 0.658073  	 RNA metabolism
PiuraChilensis_v1_contig_10055 	 0.658073  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10055 	 0.658073  	 other metabolic processes
PiuraChilensis_v1_contig_10056 	 0.519476  	 
PiuraChilensis_v1_contig_10057 	 0.536814  	 RNA metabolism
PiuraChilensis_v1_contig_10057 	 0.536814  	 cell cycle and proliferation
PiuraChilensis_v1_contig_10058 	 0.71244  	 
PiuraChilensis_v1_contig_10059 	 0.820852  	 cell cycle and proliferation
PiuraChilensis_v1_contig_10059 	 0.820852  	 cell organization and biogenesis
PiuraChilensis_v1_contig_10059 	 0.820852  	 other biological processes
PiuraChilensis_v1_contig_1006 	 0.599074  	 
